events,message_events,handoff_events,repetitions,median_seconds,q1_seconds,q3_seconds,iqr_seconds,events_per_second,durations_seconds
10,5,5,7,2.7084e-05,2.68955e-05,2.8603499999999998e-05,1.7079999999999979e-06,369221.6806970905,2.6625e-05;2.6875e-05;2.6916e-05;2.7084e-05;2.7166e-05;3.0041e-05;3.3875e-05
100,50,50,7,0.000198,0.0001959795,0.0001986665,2.6869999999999965e-06,505050.5050505051,0.000194583;0.000195917;0.000196042;0.000198;0.000198;0.000199333;0.000200625
1000,500,500,7,0.001966334,0.0019638955,0.0019777915,1.389600000000022e-05,508560.6005897268,0.001953542;0.001963833;0.001963958;0.001966334;0.001972083;0.0019835;0.001984875
5000,2500,2500,7,0.009856791,0.009755854,0.0098930625,0.00013720850000000125,507264.4839481734,0.009652292;0.009749708;0.009762;0.009856791;0.009886458;0.009899667;0.009937583
10000,5000,5000,7,0.020204,0.019753166500000002,0.0207442085,0.0009910419999999975,494951.4947535142,0.019417292;0.019540541;0.019965792;0.020204;0.02063525;0.020853167;0.021551375
